date,time,city,address,title,price,status
2/6/2024,1500,NRK,Langata Road,Rice Bliss,KSh629.97,Available
2/6/2024,1500,NRK,Langata Road,Streetwise 3,KSh670.00,Available
2/6/2024,1500,NRK,Langata Road,KFC Krusher,KSh350.00,Available
2/6/2024,1500,NRK,Langata Road,Streetwise 5,KSh1200.00,Available
2/6/2024,1500,NRK,Langata Road,Streetwise 7,KSh470.00,Available
2/6/2024,1500,NRK,Langata Road,Streetwise 7,KSh650.00,Available
2/6/2024,1500,NRK,Langata Road,Streetwise 7,KSh1750.00,Available
2/6/2024,1500,NAK,West Road,Double Crunch Burger,KSh650.00,Available
2/6/2024,1500,NAK,West Road,Streetwise 7,KSh470.00,Available
2/6/2024,1500,NAK,West Road,Streetwise 7,KSh670.00,Available
2/6/2024,1500,NAK,West Road,Streetwise 7,KSh1750.00,Available
2/6/2024,1500,NAK,West Road,Streetwise 7,KSh629.97,Available
2/6/2024,1500,NAK,West Road,Streetwise 5,KSh1200.00,Available
2/6/2024,1500,NAK,West Road,KFC Krusher,KSh350.00,Available
2/6/2024,1500,NAK,West Road,Double Crunch Burger,KSh650.00,Available
2/6/2024,1500,NAK,West Road,Rice Bliss,KSh629.97,Available
2/6/2024,1500,NAK,West Road,Streetwise 5,KSh1200.00,Available
2/6/2024,1500,NAK,West Road,Streetwise 2,KSh470.00,Available
2/6/2024,1500,NAK,West Road,Streetwise 7,KSh1750.00,Available
2/6/2024,1500,NAK,West Road,KFC Krusher,KSh350.00,Available
2/6/2024,1500,NAK,West Road,Streetwise 3,KSh670.00,Available
2/6/2024,1500,ELD,Rupa place,Double Crunch Burger,KSh650.00,Available
2/6/2024,1500,ELD,Rupa place,Rice Bliss,KSh629.97,Available
2/6/2024,1500,ELD,Rupa place,KFC Krusher Missing,-,Not Available
2/6/2024,1500,ELD,Rupa place,Streetwise 5,KSh1200.00,Available
2/6/2024,1500,ELD,Rupa place,Streetwise 2,KSh470.00,Available
2/6/2024,1500,ELD,Rupa place,Streetwise 3,KSh670.00,Available
2/6/2024,1500,ELD,Rupa place,Streetwise 7,KSh1750.00,Available
2/6/2024,1500,KSM,Gumbi Road,Double Crunch Burger Missing,-,Not Available
2/6/2024,1500,KSM,Gumbi Road,KFC Krusher,KSh350.00,Available
2/6/2024,1500,KSM,Gumbi Road,Streetwise 5,KSh1200.00,Available
2/6/2024,1500,KSM,Gumbi Road,Rice Bliss,KSh629.97,Available
2/6/2024,1500,KSM,Gumbi Road,Streetwise 2,KSh470.00,Available
2/6/2024,1500,KSM,Gumbi Road,Streetwise 7,KSh670.00,Available
2/6/2024,1500,KSM,Gumbi Road,Streetwise 7,KSh1750.00,Available
2/6/2024,1500,THK,Kenyatta Highway,KFC Krusher,KSh350.00,Available
2/6/2024,1500,THK,Kenyatta Highway,Double Crunch Burger Missing,-,Not Available
2/6/2024,1500,THK,Kenyatta Highway,Streetwise 7,KSh1750.00,Available
2/6/2024,1500,THK,Kenyatta Highway,Rice Bliss,KSh670.00,Available
2/6/2024,1500,THK,Kenyatta Highway,Rice Bliss,KSh905.00,Available
2/6/2024,1500,THK,Kenyatta Highway,Streetwise 2,KSh470.00,Available
2/6/2024,1500,THK,Kenyatta Highway,Streetwise 5,KSh1200.00,Available
